geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TE1G00640,51.24052498,2.880698829,0.389351668,7.398706797,1.38E-13,4.09E-13
TE2G07010,401.596403,0.987844129,0.133564181,7.396025818,1.40E-13,4.17E-13
TE1G28880,7589.425729,-0.409192025,0.055331064,-7.395339909,1.41E-13,4.19E-13
TE1G44040,10482.2045,0.418246696,0.056586659,7.391259803,1.45E-13,4.32E-13
TE1G50070,653.5436694,0.807205838,0.10921652,7.390876712,1.46E-13,4.33E-13
TE2G36290,211.1645628,-1.178048611,0.159486262,-7.386520899,1.51E-13,4.48E-13
TE2G29620,96.06550035,-1.775425543,0.240452186,-7.383694758,1.54E-13,4.57E-13
TE2G20470,33.41757557,3.858260029,0.522579842,7.383101525,1.55E-13,4.59E-13
TE1G21660,2088.265505,0.517193308,0.070061209,7.382020905,1.56E-13,4.63E-13
TE2G08640,390.8573132,1.031962818,0.13979945,7.381737343,1.56E-13,4.64E-13
TE3G23420,578.9243976,1.011309468,0.13704454,7.379421812,1.59E-13,4.72E-13
TE1G20770,39083.42552,0.373702389,0.050669845,7.375242349,1.64E-13,4.87E-13
TE1G36410,1652.977046,0.518807969,0.070354743,7.374171916,1.65E-13,4.90E-13
TE1G07340,5661.839851,-0.427997097,0.058042951,-7.373799726,1.66E-13,4.92E-13
TE1G27060,156.8414697,-1.417707571,0.192371612,-7.369629847,1.71E-13,5.07E-13
TE2G13280,1394.08835,-0.562258923,0.07630667,-7.368411195,1.73E-13,5.12E-13
TE1G23470,216.754469,-1.137353367,0.154468261,-7.363023056,1.80E-13,5.33E-13
TE1G41290,318.4896315,-1.465113664,0.199026567,-7.361397461,1.82E-13,5.39E-13
TE1G43250,1142.651478,0.609432847,0.08279952,7.360342786,1.83E-13,5.43E-13
TE3G31400,347.5127278,0.936270011,0.127286109,7.35563385,1.90E-13,5.63E-13
TE2G41980,492.9127205,0.857995167,0.116658022,7.35478927,1.91E-13,5.66E-13
TE1G46560,149.1361534,1.588387838,0.216004425,7.353496737,1.93E-13,5.71E-13
TE1G30670,62.4734489,-2.681604537,0.364710528,-7.352692984,1.94E-13,5.75E-13
TE1G33300,124.1394149,1.585494722,0.215710434,7.35010677,1.98E-13,5.86E-13
TE2G34330,2313.780205,0.501924818,0.068297097,7.349138437,1.99E-13,5.90E-13
TE1G03260,39.03148923,-3.299193881,0.449021967,-7.347511095,2.02E-13,5.97E-13
TE3G09300,9333.259473,2.454271566,0.334264556,7.342302734,2.10E-13,6.21E-13
